**Draft Test Suite – User Login Feature**  
*(All test cases are traceable to the Acceptance Criteria (AC) listed in the requirement.  No functionality beyond the specification has been added.)*  

| # | Test Case ID | Acceptance Criteria ID | Test Scenario | Preconditions | Test Data | Test Steps | Expected Result | Category | Priority | Risk |
|---|--------------|------------------------|---------------|---------------|-----------|------------|-----------------|----------|----------|------|
| 1 | TC‑001 | AC1 | Successful login with valid credentials | User **active** and **registered** in the system. | Email: `user@example.com`  (registered) <br>Password: `ValidPass123!` (8‑64 chars) | 1. Open login page.<br>2. Enter email.<br>3. Enter password.<br>4. Click **Log In**. | User is redirected to the Dashboard. A session cookie is created. | Positive | High | High (core functionality) |
| 2 | TC‑002 | AC2 | Invalid password – generic error shown | User **active** and **registered**. | Email: `user@example.com` <br>Password: `WrongPass!` | 1. Open login page.<br>2. Enter correct email.<br>3. Enter wrong password.<br>4. Click **Log In**. | Login page remains displayed.<br>Error message: **“Invalid email or password”**. No dashboard navigation. | Negative | High | High |
| 3 | TC‑003 | AC3 | Unregistered email – same generic error | No account exists for the supplied email. | Email: `nonexistent@example.com` <br>Password: any string (e.g., `AnyPass123`) | 1. Open login page.<br>2. Enter unregistered email.<br>3. Enter any password.<br>4. Click **Log In**. | Login page remains displayed.<br>Error message: **“Invalid email or password”**. No indication that email is unknown. | Negative | High | High |
| 4 | TC‑004 | AC4 | Email field left blank – inline validation | – | Email: *(blank)* <br>Password: `ValidPass123!` | 1. Open login page.<br>2. Leave email empty.<br>3. Fill password.<br>4. Click **Log In**. | Inline validation message next to Email field: **“Email is required”** (or similar). No network request is sent (verify via dev‑tools/network). | Negative | Medium | Medium |
| 5 | TC‑005 | AC4 | Password field left blank – inline validation | – | Email: `user@example.com` <br>Password: *(blank)* | 1. Open login page.<br>2. Fill email.<br>3. Leave password empty.<br>4. Click **Log In**. | Inline validation message next to Password field: **“Password is required”**. No request sent. | Negative | Medium | Medium |
| 6 | TC‑006 | AC4 | Both fields blank – multiple inline prompts | – | Email: *(blank)* <br>Password: *(blank)* | 1. Open login page.<br>2. Click **Log In** without entering anything. | Inline messages for both fields (“Email is required”, “Password is required”). No request sent. | Negative | Medium | Medium |
| 7 | TC‑007 | AC5 | Invalid email format – missing “@” | – | Email: `invalidemail.com` <br>Password: `ValidPass123!` | 1. Open login page.<br>2. Enter malformed email.<br>3. Fill password.<br>4. Click **Log In**. | Inline validation: **“Enter a valid email address”**. No request sent. | Negative | High | Medium |
| 8 | TC‑008 | AC5 | Invalid email format – illegal characters | – | Email: `user@exa mple.com` (space) <br>Password: `ValidPass123!` | Same steps as TC‑007. | Same inline validation message; request blocked. | Negative | High | Medium |
| 9 | TC‑009 | AC5 | Edge‑case valid email (sub‑domain, plus, max length) | User **active** and **registered** with this exact email. | Email: `first.last+tag@sub.domain-example.co.uk` (valid, 64‑char total) <br>Password: `ValidPass123!` | 1. Open login page.<br>2.
