**Draft Test Suite – “Apply Promo Code at Checkout”**  
*(All test cases are traceable to the Acceptance Criteria (AC) listed in the requirement. No functionality beyond the specification has been introduced.)*  

| # | Test Case ID | Acceptance Criteria ID | Test Scenario | Preconditions | Test Data | Test Steps | Expected Result | Category | Priority | Risk |
|---|--------------|------------------------|---------------|---------------|-----------|------------|-----------------|----------|----------|------|
| 1 | TC‑001 | AC1 | Apply a valid percentage promo code (SAVE10) to an order whose subtotal meets the rule. | • User is logged in (or guest) <br>• Cart contains items totalling **₹1,000** (item subtotal) <br>• No promo code currently applied | Promo code: **SAVE10** (case‑insensitive) | 1. Navigate to Checkout page.<br>2. Verify subtotal = ₹1,000.<br>3. Enter **SAVE10** in the Promo‑code field.<br>4. Click **Apply**. | Discount of 10 % (₹100) is applied.<br>• New item subtotal = ₹900.<br>• Shipping & taxes are calculated on ₹900.<br>• Order total reflects the reduced amount.<br>• No error message displayed. | Positive | High | High (core discount functionality) |
| 2 | TC‑002 | AC1 | Verify that applying the same percentage code again does **not** stack discounts. | Same as TC‑001, but a promo code is already applied. | Promo code: **SAVE10** | 1. Apply **SAVE10** (as in TC‑001).<br>2. Without removing it, re‑enter **SAVE10** and click **Apply**. | System shows a confirmation that a code is already applied and asks to replace (same behaviour as AC9). If user **cancels**, the original discount remains unchanged; no double‑discount. | Negative / Edge | Medium | Medium |
| 3 | TC‑003 | AC2 | Apply a valid fixed‑amount promo code (FLAT200) when subtotal exceeds the minimum required. | Cart subtotal = **₹1,500** (minimum for FLAT200 is ₹1,000 as implied by AC3). | Promo code: **FLAT200** | 1. Go to Checkout.<br>2. Verify subtotal = ₹1,500.<br>3. Enter **FLAT200** and click **Apply**. | Discount of ₹200 applied.<br>• New item subtotal = ₹1,300.<br>• Shipping & taxes calculated on ₹1,300.<br>• Order total updated accordingly.<br>• No error message. | Positive | High | High |
| 4 | TC‑004 | AC3 | Attempt to apply a fixed‑amount promo code (FLAT200) when subtotal is **below** the required minimum. | Cart subtotal = **₹800** (minimum = ₹1,000). | Promo code: **FLAT200** | 1. Open Checkout.<br>2. Verify subtotal = ₹800.<br>3. Enter **FLAT200** and click **Apply**. | Error message displayed: *“This code requires a minimum order of ₹1000.”*<br>• No discount applied; subtotal remains ₹800.<br>• Order total unchanged. | Negative | High | High |
| 5 | TC‑005 | AC4 | Apply an **expired** promo code. | Cart subtotal = **₹1,200**. The system has a promo code **EXPIRED10** marked as expired. | Promo code: **EXPIRED10** | 1. Navigate to Checkout.<br>2. Enter **EXPIRED10** and click **Apply**. | Error message displayed: *“This code has expired.”*<br>• No discount applied; subtotal and total unchanged. | Negative | High | High |
| 6 | TC‑006 | AC5 | Apply a **non‑existent** promo code. | Cart subtotal = **₹1,200**. | Promo code: **NOTACODE** | 1. Go to Checkout.<br>2. Enter **NOTACODE** and click **Apply**. | Error message displayed: *“Invalid promo code.”*<br>• No discount applied; subtotal and total unchanged. | Negative | High | High |
| 7 | TC‑007 | AC6 | Verify case‑insensitivity of promo codes. | Cart subtotal = **₹1,000**. | Promo code entered in lower‑case: **save10** | 1. Open Checkout.<br>2. Enter **save10** (lower‑case) and click **Apply**. | Same result as AC1: 10 % discount (₹100) applied, subtotal becomes ₹900, total updates. | Positive | Medium | Medium |
| 8 | TC‑008 | AC7 | Re‑apply a **single‑use** promo code that the customer has already redeemed. | • Customer has previously used **ONEUSE5** (5 % off) on a past order.<br>• Current cart subtotal = **₹2,000**. | Promo code: **ONEUSE5** | 1. Go to Checkout.<br>2. Enter **ONEUSE5** and click **Apply**. | Error message displayed: *“This code has already been used.”*<br>• No discount applied; subtotal unchanged. | Negative | High | High |
| 9 | TC‑009 | AC8 | Apply a fixed‑amount code that would otherwise make the subtotal negative; ensure it floors at zero. | Cart subtotal = **₹150** (minimum for FLAT200 is ₹1000, but we test the “cap at zero” rule). | Promo code: **FLAT200** (assume the code does **not** have a minimum for this test, only the cap rule). | 1. Open Checkout.<br>2. Enter **FLAT200** and click **Apply**. | Discount applied up to the subtotal amount.<br>• New
